PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,INSTRS,CYCLES,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
519,CarbonComponentS,0.0,00:00.18,3,1,48,5669K,0B,21M,519,1,sleeping,0[1],0.00000,0.00000,502,3302,74,1247,587,5964,1147,241,154,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
518,AudioComponentRe,0.0,00:00.07,2,1,85,3346K,0B,1536K,518,1,sleeping,0[19],0.00000,0.00000,502,1157,64,409,148,1486,748,290,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
514,com.apple.geod,0.0,00:06.28,3,1,114,38M,0B,30M,514,1,sleeping,0[1749],0.00000,0.00000,502,10852,90,74764,15390,290660,76123,86426,145,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
513,IMRemoteURLConne,0.0,00:00.06,3,1,75,2977K,0B,1744K,513,1,sleeping,0[7],0.00000,0.00000,502,979,77,437,203,1655,1364,851,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
512,VTEncoderXPCServ,0.0,00:00.04,2,1,45,5330K,0B,4880K,512,1,sleeping,0[1],0.00000,0.00000,502,813,62,210,60,2970,474,338,9,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
511,fmfd,0.0,00:00.69,3,1,98,9122K,0B,6256K,511,1,sleeping,0[620],0.00000,0.00000,502,5135,153,3927,1192,20808,7819,11004,41,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
508,followupd,0.0,00:00.05,2,1,59,2641K,64K,1024K,508,1,sleeping,0[42],0.00000,0.00000,502,735,70,489,137,1612,870,433,8,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
504,VTDecoderXPCServ,0.0,00:00.05,2,1,67,5858K,0B,5040K,504,1,sleeping,0[2],0.00000,0.00000,502,924,84,957,553,3461,1687,531,1,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
502,IMRemoteURLConne,0.0,00:00.05,3,1,73,2929K,0B,1808K,502,1,sleeping,0[5],0.00000,0.00000,502,966,77,417,191,1562,1295,667,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
501,keyboardservices,0.0,00:00.16,2,1,61,3826K,0B,3472K,501,1,sleeping,0[34],0.00000,0.00000,502,1259,92,750,229,5079,1449,1587,27,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
